TOR_Code,TOR_Name,% population ACTUALLY vaccinated (55+ yo),% reporting knowledge of neither English nor French (2016 census),% reporting mother tongue is neither English nor French (2016 census),% households earning LOWEST income (2016 census),% households earning HIGHEST income (2016 census),Nb. households earning top 10% LOWEST income (bottom decile),Nb. households earning 10% HIGHEST income (top decile),% Home Internet Download Speeds Over 50 Mbps (based on FSA),% Fast or Very Fast Home Internet Service Relative to Needs (based on FSA),% Worried About Ability to Pay Home Internet Bill (based on FSA),% Driving to work (2016 census),% Driving to work - passenger (2016 census),% Commuting to work in public transit (2016 census),% Walking to work (2016 census),% Cycling to work,% Labour Force Population in Manufacturing (2016 census),% Labour Force Population in Wholesale trade (2016 census),% Labour Force Population in Retail trade (2016 census),% Labour Force Population in Transportation and warehousing (2016 census),% Labour Force Population in Health care and social assistance (2016 census),% Labour Force Population in Accommodation and food services (2016 census),Nb. City-operated Immunization Clinic,Nb. Hospital Immunization Clinic,Nb. Pharmacy Immunization Site,Total Vaccination Sites (except pop-up clinics)
2.00,Mount Olive-Silverstone-Jamestown,12.70,7.66,57.95,77.41,1.22,25410.00,400.00,0.49,0.39,0.39,55.28,7.38,32.62,3.06,0.28,18.30,4.13,10.71,8.40,9.22,7.83,0.00,0.00,2.00,2.00
115.00,Mount Dennis,16.20,4.63,44.35,70.64,1.51,9370.00,200.00,0.78,0.54,0.33,45.99,5.57,44.98,2.11,0.42,10.15,2.97,10.08,5.37,11.31,7.61,0.00,1.00,1.00,2.00
82.00,Niagara,16.30,1.47,28.26,36.83,19.88,11210.00,6050.00,0.67,0.44,0.32,32.28,3.03,32.97,24.00,6.30,4.07,4.21,6.81,2.44,7.20,6.91,0.00,1.00,2.00,3.00
22.00,Humbermede,16.40,6.92,56.56,71.29,1.83,11075.00,285.00,0.40,0.48,0.38,58.54,7.53,30.87,1.72,0.30,17.80,4.19,9.62,7.79,8.84,7.53,0.00,0.00,0.00,0.00
72.00,Regent Park,16.90,5.99,51.67,75.46,5.43,8055.00,580.00,0.68,0.42,0.29,23.89,2.43,47.46,18.60,6.34,3.53,2.74,9.45,4.24,9.54,13.78,0.00,0.00,0.00,0.00
5.00,Elms-Old Rexdale,17.00,3.17,44.91,67.35,2.33,6365.00,220.00,0.54,0.50,0.31,58.10,6.18,32.88,1.73,0.49,11.00,4.42,11.65,9.06,10.79,6.04,0.00,0.00,1.00,1.00
121.00,Oakridge,17.10,6.15,45.20,57.43,7.82,12040.00,1640.00,0.62,0.47,0.45,37.83,4.06,48.76,3.86,4.25,6.66,2.13,10.15,3.50,9.81,8.02,0.00,0.00,0.00,0.00
91.00,Weston-Pelham Park,17.10,8.74,49.98,61.18,3.43,6785.00,380.00,0.67,0.61,0.13,39.92,8.00,42.43,4.34,3.95,8.05,2.27,10.99,4.19,9.06,8.14,0.00,0.00,0.00,0.00
53.00,Henry Farm,17.20,5.31,66.79,65.86,6.11,10350.00,960.00,0.81,0.52,0.37,42.77,4.48,47.18,4.68,0.28,6.33,3.37,10.87,3.14,8.13,7.96,0.00,0.00,0.00,0.00
77.00,Waterfront Communities-The Island,17.20,1.44,34.88,38.94,21.54,25550.00,14135.00,0.48,0.40,0.14,20.78,1.74,24.93,47.63,3.59,2.62,2.72,5.81,1.68,6.62,6.05,1.00,0.00,8.00,9.00
51.00,Willowdale East,17.70,6.40,71.07,55.81,12.78,28045.00,6425.00,0.37,0.31,0.30,45.40,3.19,43.10,7.11,0.23,4.82,3.95,8.49,2.16,9.49,4.95,1.00,0.00,4.00,5.00
84.00,Little Portugal,17.90,7.58,35.52,51.68,10.43,7780.00,1570.00,0.61,0.45,0.27,28.50,3.07,38.48,14.89,14.05,5.35,1.83,8.87,2.25,6.85,10.56,0.00,0.00,1.00,1.00
85.00,South Parkdale,18.10,3.85,40.08,71.07,4.82,14680.00,995.00,0.65,0.39,0.24,23.35,2.01,51.74,11.67,10.24,4.64,2.59,10.66,3.08,9.74,14.73,0.00,0.00,2.00,2.00
112.00,Beechborough-Greenbrook,18.30,5.18,42.93,71.29,3.37,4545.00,215.00,0.52,0.40,0.33,46.52,6.59,41.62,3.77,0.75,10.40,4.32,13.28,4.48,10.56,5.12,0.00,0.00,1.00,1.00
74.00,North St. James Town,18.30,2.80,54.40,76.27,3.98,14000.00,730.00,0.56,0.46,0.40,13.99,1.52,56.72,21.10,5.15,4.34,2.49,11.12,3.18,9.46,13.38,0.00,0.00,2.00,2.00
113.00,Weston,18.40,3.75,38.47,68.21,3.65,12070.00,645.00,0.33,0.37,0.26,51.44,5.51,38.12,3.65,0.38,9.92,3.42,11.18,6.61,10.80,6.50,0.00,0.00,2.00,2.00
69.00,Blake-Jones,18.50,5.86,30.98,53.09,15.09,4080.00,1160.00,0.49,0.60,0.42,31.80,3.40,47.49,6.66,9.02,4.41,2.94,7.47,2.20,8.69,8.32,0.00,0.00,1.00,1.00
6.00,Kingsview Village-The Westway,18.50,3.87,52.36,65.22,5.71,14335.00,1255.00,0.87,0.48,0.37,60.38,5.09,30.16,3.06,0.51,9.36,3.65,10.23,8.58,9.89,7.80,0.00,0.00,0.00,0.00
109.00,Caledonia-Fairbank,18.70,8.73,57.91,57.06,3.18,5655.00,315.00,0.60,0.48,0.30,41.82,9.49,43.03,3.23,1.41,7.94,2.71,11.27,3.25,9.38,7.30,0.00,0.00,1.00,1.00
125.00,Ionview,18.70,3.20,48.65,70.78,1.73,9630.00,235.00,0.65,0.45,0.44,40.10,4.19,49.71,3.86,0.49,9.20,3.40,12.53,4.27,12.74,9.70,0.00,0.00,0.00,0.00
110.00,Keelesdale-Eglinton West,18.70,9.01,59.76,62.88,3.17,6945.00,350.00,0.59,0.46,0.33,48.39,9.34,36.85,3.71,1.00,9.65,3.01,10.72,4.43,8.77,6.91,0.00,0.00,1.00,1.00
27.00,York University Heights,18.70,5.07,55.77,69.30,2.54,19105.00,700.00,0.78,0.50,0.52,46.48,5.20,42.26,4.57,0.90,13.26,4.22,11.40,5.09,8.33,7.89,0.00,0.00,4.00,4.00
65.00,Greenwood-Coxwell,18.80,5.39,29.69,49.20,12.07,7075.00,1735.00,0.62,0.63,0.46,34.84,4.00,44.36,7.05,8.44,4.00,2.18,9.21,2.79,8.30,8.42,0.00,0.00,0.00,0.00
30.00,Brookhaven-Amesbury,19.10,5.39,50.58,69.93,2.68,12385.00,475.00,0.56,0.45,0.60,48.26,4.98,42.65,3.22,0.32,12.40,4.23,11.53,5.43,10.04,6.37,0.00,0.00,5.00,5.00
126.00,Dorset Park,19.20,5.33,57.27,67.77,2.46,16525.00,600.00,0.51,0.45,0.29,50.66,5.45,38.63,3.99,0.50,11.75,3.93,11.87,4.36,11.32,9.51,0.00,0.00,2.00,2.00
93.00,Dovercourt-Wallace Emerson-Junction,19.20,7.93,43.39,55.26,7.71,20055.00,2800.00,0.69,0.47,0.26,30.51,4.30,46.88,6.36,10.37,5.02,2.49,10.39,2.64,7.70,9.97,0.00,0.00,4.00,4.00
78.00,Kensington-Chinatown,19.20,13.42,50.13,69.60,7.56,12155.00,1320.00,0.78,0.54,0.47,13.09,1.96,26.71,45.69,11.18,3.36,1.68,10.48,1.88,8.36,13.95,0.00,3.00,5.00,8.00
19.00,Long Branch,19.20,1.69,31.86,52.31,10.88,5265.00,1095.00,0.65,0.44,0.31,59.45,4.35,29.96,3.31,2.08,8.44,5.68,10.31,5.36,8.12,6.09,0.00,0.00,2.00,2.00
70.00,South Riverdale,19.30,8.11,31.13,47.11,18.41,12740.00,4980.00,0.65,0.39,0.24,36.32,4.76,38.61,10.35,8.32,5.02,3.45,7.80,2.66,7.47,9.41,0.00,0.00,4.00,4.00
139.00,Scarborough Village,19.40,3.17,46.46,72.87,4.23,11980.00,695.00,0.54,0.50,0.31,49.04,5.60,41.12,3.36,0.00,8.22,3.38,11.07,6.37,11.60,7.29,0.00,0.00,1.00,1.00
1.00,West Humber-Clairville,19.40,4.50,52.01,59.48,3.06,19565.00,1005.00,0.49,0.60,0.42,60.64,7.32,28.12,2.73,0.39,15.89,3.78,11.32,9.50,9.33,6.70,1.00,1.00,2.00,4.00
138.00,Eglinton East,19.50,3.23,47.09,71.39,2.34,15885.00,520.00,0.66,0.55,0.34,42.53,4.80,49.60,2.10,0.11,8.79,2.81,12.07,4.77,12.25,10.52,0.00,0.00,2.00,2.00
137.00,Woburn,19.60,4.83,54.24,68.38,3.11,36245.00,1650.00,0.56,0.46,0.40,53.28,6.51,35.36,3.61,0.21,11.12,3.89,11.68,4.87,10.21,8.34,0.00,1.00,5.00,6.00
81.00,Trinity-Bellwoods,19.70,12.12,41.29,51.83,14.70,8410.00,2385.00,0.37,0.31,0.30,25.14,3.82,31.56,21.32,16.72,4.23,1.99,7.81,2.14,7.96,11.40,0.00,1.00,1.00,2.00
3.00,Thistletown-Beaumond Heights,19.80,5.43,53.42,62.50,4.20,6325.00,425.00,0.68,0.54,0.42,65.82,7.36,23.71,2.53,0.35,13.64,4.25,12.65,9.19,8.10,6.42,0.00,0.00,0.00,0.00
86.00,Roncesvalles,20.00,4.30,28.16,49.93,15.64,7425.00,2325.00,0.65,0.45,0.44,32.01,2.67,38.92,9.78,14.71,4.38,2.49,6.87,2.49,7.65,10.42,0.00,0.00,2.00,2.00
21.00,Humber Summit,20.20,8.06,60.83,66.16,2.86,8210.00,355.00,0.65,0.39,0.24,63.86,7.23,25.84,1.88,0.20,15.38,3.65,12.60,9.30,7.56,8.08,0.00,0.00,1.00,1.00
90.00,Junction Area,20.20,2.73,32.04,45.31,12.25,6380.00,1725.00,0.49,0.60,0.42,37.73,3.76,44.00,7.06,6.93,6.02,3.21,9.45,2.93,8.27,6.02,0.00,0.00,4.00,4.00
132.00,Malvern,20.30,4.81,48.55,66.66,1.68,29170.00,735.00,0.54,0.50,0.31,56.10,7.28,33.42,2.21,0.31,12.69,3.73,11.70,5.79,10.40,8.35,1.00,0.00,4.00,5.00
111.00,Rockcliffe-Smythe,20.40,6.07,49.77,62.81,3.06,13965.00,680.00,0.54,0.51,0.26,50.08,7.11,37.40,3.71,0.88,10.16,3.61,11.37,5.75,8.74,6.69,0.00,0.00,1.00,1.00
26.00,Downsview-Roding-CFB,20.60,5.91,54.34,63.48,3.79,22180.00,1325.00,0.87,0.48,0.37,52.00,6.56,37.64,2.85,0.06,13.94,3.24,10.20,5.26,9.37,6.76,1.00,1.00,7.00,9.00
104.00,Mount Pleasant West,20.70,1.61,37.14,48.82,14.80,14120.00,4280.00,0.75,0.58,0.38,28.34,2.21,56.35,10.99,1.49,3.46,2.96,7.68,1.62,9.20,5.79,0.00,0.00,2.00,2.00
61.00,Taylor-Massey,20.80,3.52,55.97,76.72,2.20,11880.00,340.00,0.47,0.67,0.27,29.11,2.03,63.69,3.90,0.83,5.22,1.83,10.89,4.47,9.69,10.51,0.00,0.00,1.00,1.00
75.00,Church-Yonge Corridor,20.90,1.31,36.82,52.81,14.01,16005.00,4245.00,0.51,0.40,0.40,14.92,1.35,38.60,40.12,3.80,2.47,2.04,7.64,2.61,8.79,7.53,0.00,1.00,8.00,9.00
120.00,Clairlea-Birchmount,20.90,3.74,47.65,57.35,5.04,15085.00,1325.00,0.67,0.32,0.18,47.30,4.52,43.87,2.74,0.73,7.36,2.78,11.23,5.25,11.55,9.47,0.00,1.00,2.00,3.00
83.00,Dufferin Grove,20.90,6.90,39.95,57.17,8.84,6695.00,1035.00,0.76,0.39,0.28,26.29,2.94,47.82,9.53,12.31,4.96,2.31,7.54,2.71,8.40,10.19,0.00,0.00,0.00,0.00
136.00,West Hill,20.90,2.22,34.43,63.50,3.93,17125.00,1060.00,0.53,0.42,0.23,54.12,5.79,36.11,2.62,0.27,7.82,3.44,12.06,5.27,11.56,7.29,0.00,0.00,2.00,2.00
128.00,Agincourt South-Malvern West,21.00,14.45,68.24,64.77,4.79,15205.00,1125.00,0.46,0.26,0.34,60.38,6.55,29.38,2.76,0.34,11.17,4.61,11.08,3.61,9.46,9.42,0.00,0.00,2.00,2.00
24.00,Black Creek,21.00,7.93,48.81,80.29,0.63,17315.00,135.00,0.53,0.42,0.23,51.07,9.29,34.39,3.10,1.07,19.84,3.44,12.04,6.72,7.85,6.83,0.00,0.00,1.00,1.00
57.00,Broadview North,21.00,2.72,41.51,57.83,10.41,6555.00,1180.00,0.57,0.47,0.45,35.99,2.95,48.52,6.18,5.28,3.42,2.13,9.42,3.57,9.65,10.03,0.00,0.00,0.00,0.00
92.00,Corso Italia-Davenport,21.20,8.30,50.53,50.50,8.42,7110.00,1185.00,0.78,0.69,0.29,41.08,6.89,41.63,4.55,4.89,4.99,2.77,9.81,3.43,7.34,7.22,0.00,0.00,0.00,0.00
88.00,High Park North,21.40,1.76,34.98,43.39,18.22,9465.00,3975.00,0.81,0.52,0.37,32.29,2.07,55.15,4.58,4.98,4.60,2.92,6.97,3.21,9.23,7.08,0.00,0.00,3.00,3.00
73.00,Moss Park,21.50,2.04,31.49,55.72,16.14,10285.00,2980.00,0.67,0.60,0.38,21.07,1.58,31.62,37.57,6.62,2.80,1.74,7.54,3.12,7.66,8.88,0.00,0.00,2.00,2.00
45.00,Parkwoods-Donalda,21.60,2.89,45.91,56.79,9.69,19720.00,3365.00,0.60,0.49,0.48,56.19,5.37,34.54,2.75,0.29,6.58,3.67,10.14,3.67,10.63,6.05,0.00,0.00,2.00,2.00
127.00,Bendale,21.70,5.12,55.35,62.88,4.12,18300.00,1200.00,0.62,0.44,0.38,52.01,4.99,37.65,4.18,0.36,9.49,3.99,10.78,5.08,10.92,7.67,1.00,0.00,5.00,6.00
119.00,Wexford/Maryvale,21.70,3.53,47.08,59.07,4.54,16270.00,1250.00,0.67,0.32,0.18,56.84,4.81,33.74,3.07,0.65,8.06,3.38,11.72,5.86,10.32,7.57,0.00,0.00,4.00,4.00
108.00,Briar Hill-Belgravia,21.80,5.31,58.57,61.34,4.47,8720.00,635.00,0.67,0.44,0.32,39.75,4.22,49.79,4.22,0.83,8.26,2.63,9.75,4.61,11.43,7.24,0.00,0.00,3.00,3.00
117.00,L'Amoreaux,21.80,1.32,29.17,39.72,27.94,3170.00,2230.00,0.68,0.54,0.42,46.46,3.90,40.40,4.04,3.61,4.40,3.69,9.64,3.10,9.17,3.21,0.00,0.00,2.00,2.00
114.00,Lambton Baby Point,21.80,13.57,66.89,64.90,4.89,28220.00,2125.00,0.82,0.66,0.25,56.48,6.89,33.28,2.09,0.48,11.42,4.42,12.49,3.43,9.67,8.66,0.00,0.00,0.00,0.00
130.00,Milliken,21.90,26.90,78.84,68.20,4.43,17770.00,1155.00,0.53,0.42,0.23,62.40,10.93,23.95,1.72,0.38,12.88,4.88,12.52,3.04,7.55,14.20,0.00,1.00,5.00,6.00
36.00,Newtonbrook West,21.90,5.90,70.40,64.85,7.26,15320.00,1715.00,0.67,0.32,0.18,45.05,5.92,42.92,4.45,0.52,8.08,3.62,10.61,3.22,11.45,7.84,0.00,0.00,5.00,5.00
46.00,Pleasant View,21.90,8.04,67.26,55.81,7.12,8820.00,1125.00,0.56,0.46,0.40,58.62,6.19,31.74,1.99,0.52,8.31,3.88,9.97,4.43,9.29,6.34,0.00,0.00,0.00,0.00
25.00,Glenfield-Jane Heights,22.00,8.86,52.20,72.94,1.36,22035.00,410.00,0.67,0.61,0.13,53.70,8.44,34.31,2.42,0.48,18.45,3.94,10.78,6.06,9.59,7.40,0.00,0.00,2.00,2.00
64.00,Woodbine Corridor,22.00,2.37,19.33,40.43,17.42,5025.00,2165.00,0.65,0.57,0.29,41.58,2.77,42.58,5.70,6.37,3.92,2.13,7.98,2.13,8.60,6.05,0.00,0.00,0.00,0.00
76.00,Bay Street Corridor,22.20,2.72,55.37,59.49,14.06,15230.00,3600.00,0.54,0.51,0.26,15.07,1.40,29.96,49.43,2.75,2.43,2.20,6.30,1.40,13.17,5.34,0.00,1.00,12.00,13.00
