Neighbourhood Number,TOR_Name,2021 RPDB population,Nb. confirmed COVID cases (Mar26-Apr26),COVID infection rate per 100 (Mar26-Apr26)
129,Agincourt North,32174,278,1
128,Agincourt South-Malvern West,26347,298,1
20,Alderwood,13364,98,1
95,Annex,30776,126,0
42,Banbury-Don Mills,31087,213,1
34,Bathurst Manor,23799,299,1
76,Bay Street Corridor,31116,141,0
52,Bayview Village,23009,130,1
49,Bayview Woods-Steeles,16796,173,1
39,Bedford Park-Nortown,26135,185,1
112,Beechborough-Greenbrook,7082,133,2
127,Bendale,29047,440,2
122,Birchcliffe-Cliffside,24347,180,1
24,Black Creek,23797,545,2
69,Blake-Jones,8754,58,1
108,Briar Hill-Belgravia,16074,277,2
41,Bridle Path-Sunnybrook-York Mills,10205,70,1
57,Broadview North,12196,99,1
30,Brookhaven-Amesbury,17614,384,2
71,Cabbagetown-South St. James Town,12838,112,1
109,Caledonia-Fairbank,10947,189,2
96,Casa Loma,12845,65,1
133,Centennial Scarborough,15058,155,1
75,Church-Yonge Corridor,39661,290,1
120,Clairlea-Birchmount,36326,449,1
33,Clanton Park,14494,174,1
123,Cliffcrest,17219,198,1
92,Corso Italia-Davenport,14786,196,1
66,Danforth,10155,57,1
59,Danforth East York,18690,186,1
47,Don Valley Village,27197,231,1
126,Dorset Park,29133,431,1
93,Dovercourt-Wallace Emerson-Junction,39645,365,1
26,Downsview-Roding-CFB,43521,798,2
83,Dufferin Grove,13459,117,1
62,East End-Danforth,24571,181,1
9,Edenbridge-Humber Valley,16956,136,1
138,Eglinton East,23732,323,1
5,Elms-Old Rexdale,10571,233,2
32,Englemount-Lawrence,26092,339,1
11,Eringate-Centennial-West Deane,20490,149,1
13,Etobicoke West Mall,12830,135,1
44,Flemingdon Park,25505,409,2
102,Forest Hill North,13743,130,1
101,Forest Hill South,11924,51,0
25,Glenfield-Jane Heights,32166,644,2
65,Greenwood-Coxwell,15861,100,1
140,Guildwood,11235,97,1
53,Henry Farm,22604,251,1
88,High Park North,24201,182,1
87,High Park-Swansea,25498,104,0
134,Highland Creek,14085,200,1
48,Hillcrest Village,19889,111,1
8,Humber Heights-Westmount,11149,168,2
21,Humber Summit,13101,276,2
22,Humbermede,18218,407,2
106,Humewood-Cedarvale,14416,164,1
125,Ionview,10871,149,1
14,Islington-City Centre West,50120,404,1
90,Junction Area,15997,175,1
110,Keelesdale-Eglinton West,11495,227,2
124,Kennedy Park,19452,269,1
78,Kensington-Chinatown,20160,237,1
6,Kingsview Village-The Westway,26446,383,1
15,Kingsway South,9915,43,0
117,L'Amoreaux,47960,497,1
114,Lambton Baby Point,8832,74,1
38,Lansing-Westgate,15781,128,1
105,Lawrence Park North,16259,70,0
103,Lawrence Park South,16314,71,0
56,Leaside-Bennington,18903,116,1
84,Little Portugal,17352,117,1
19,Long Branch,11776,91,1
132,Malvern,48381,834,2
29,Maple Leaf,14677,337,2
12,Markland Wood,11379,83,1
130,Milliken,28460,215,1
17,Mimico (includes Humber Bay Shores),40561,382,1
135,Morningside,19138,278,1
73,Moss Park,22994,214,1
115,Mount Dennis,14868,285,2
2,Mount Olive-Silverstone-Jamestown,36309,596,2
99,Mount Pleasant East,18033,80,0
104,Mount Pleasant West,37388,305,1
18,New Toronto,12488,134,1
50,Newtonbrook East,14818,93,1
36,Newtonbrook West,29326,399,1
82,Niagara,32255,229,1
68,North Riverdale,12968,48,0
74,North St. James Town,20502,234,1
54,O'Connor-Parkview,20540,215,1
121,Oakridge,16105,233,1
107,Oakwood Village,22702,269,1
58,Old East York,9770,82,1
80,Palmerston-Little Italy,14794,103,1
45,Parkwoods-Donalda,38420,483,1
23,Pelmo Park-Humberlea,11799,238,2
67,Playter Estates-Danforth,8633,55,1
46,Pleasant View,19340,192,1
10,Princess-Rosethorn,12272,76,1
72,Regent Park,13297,134,1
4,Rexdale-Kipling,11445,138,1
111,Rockcliffe-Smythe,24509,421,2
86,Roncesvalles,16746,97,1
98,Rosedale-Moore Park,24092,112,0
131,Rouge,49877,742,1
89,Runnymede-Bloor West Village,11096,55,1
28,Rustic,7124,200,3
139,Scarborough Village,22342,339,2
85,South Parkdale,23320,232,1
70,South Riverdale,31072,242,1
40,St.Andrew-Windfields,19226,142,1
116,Steeles,27455,171,1
16,Stonegate-Queensway,27293,192,1
118,Tam O'Shanter-Sullivan,30736,338,1
61,Taylor-Massey,22482,237,1
63,The Beaches,23817,82,0
3,Thistletown-Beaumond Heights,11473,135,1
55,Thorncliffe Park,24964,306,1
81,Trinity-Bellwoods,16808,139,1
79,University,9700,54,1
43,Victoria Village,19269,245,1
77,Waterfront Communities-The Island,76800,527,1
136,West Hill,29054,470,2
1,West Humber-Clairville,37694,721,2
35,Westminster-Branson,30332,436,1
113,Weston,23406,420,2
91,Weston-Pelham Park,12415,206,2
119,Wexford/Maryvale,31377,442,1
51,Willowdale East,59099,297,1
37,Willowdale West,17714,135,1
7,Willowridge-Martingrove-Richview,23962,227,1
137,Woburn,57229,873,2
64,Woodbine Corridor,13790,96,1
60,Woodbine-Lumsden,8461,68,1
94,Wychwood,16441,131,1
100,Yonge-Eglinton,13001,77,1
97,Yonge-St.Clair,12928,59,0
27,York University Heights,31185,654,2
31,Yorkdale-Glen Park,17612,261,1