GEO_NAME,city
H0M,CORNWALL
K1A,OTTAWA
K1B,OTTAWA
K1C,ORLEANS
K1E,ORLEANS
K1G,OTTAWA
K1H,OTTAWA
K1J,OTTAWA
K1K,OTTAWA
K1L,OTTAWA
K1M,OTTAWA
K1N,OTTAWA
K1P,OTTAWA
K1R,OTTAWA
K1S,OTTAWA
K1T,OTTAWA
K1V,OTTAWA
K1W,ORLEANS
K1X,OTTAWA
K1Y,OTTAWA
K1Z,OTTAWA
K2A,OTTAWA
K2B,OTTAWA
K2C,NEPEAN
K2E,NEPEAN
K2G,NEPEAN
K2H,NEPEAN
K2J,NEPEAN
K2K,KANATA
K2L,KANATA
K2M,KANATA
K2P,OTTAWA
K2R,NEPEAN
K2S,STITTSVILLE
K2T,KANATA
K2V,KANATA
K2W,KANATA
K4A,ORLEANS
K4B,NAVAN
K4C,CUMBERLAND
K4K,ROCKLAND
K4M,MANOTICK
K4P,GREELY
K4R,RUSSELL
K6A,HAWKESBURY
K6H,CORNWALL
K6J,CORNWALL
K6K,CORNWALL
K6T,BROCKVILLE
K6V,BROCKVILLE
K7A,SMITHS FALLS
K7C,CARLETON PLACE
K7G,GANANOQUE
K7H,PERTH
K7K,KINGSTON
K7L,KINGSTON
K7M,KINGSTON
K7N,KINGSTON
K7P,KINGSTON
K7R,NAPANEE
K7S,ARNPRIOR
K7V,RENFREW
K8A,PEMBROKE
K8B,PEMBROKE
K8H,PETAWAWA
K8N,BELLEVILLE
K8P,BELLEVILLE
K8R,BELLEVILLE
K8V,TRENTON
K9A,COBOURG
K9H,PETERBOROUGH
K9J,PETERBOROUGH
K9K,PETERBOROUGH
K9L,PETERBOROUGH
K9V,LINDSAY
K0A,OTTAWA
K0B,HAWKESBURY
K0C,CORNWALL
K0E,BROCKVILLE
K0G,SMITHS FALLS
K0H,KINGSTON
K0J,PEMBROKE
K0K,BELLEVILLE
K0L,PETERBOROUGH
K0M,PETERBOROUGH
L1A,PORT HOPE
L1B,BOWMANVILLE
L1C,BOWMANVILLE
L1E,BOWMANVILLE
L1G,OSHAWA
L1H,OSHAWA
L1J,OSHAWA
L1K,OSHAWA
L1L,OSHAWA
L1M,WHITBY
L1N,WHITBY
L1P,WHITBY
L1R,WHITBY
L1S,AJAX
L1T,AJAX
L1V,PICKERING
L1W,PICKERING
L1X,PICKERING
L1Y,PICKERING
L1Z,AJAX
L2A,FORT ERIE
L2E,NIAGARA FALLS
L2G,NIAGARA FALLS
L2H,NIAGARA FALLS
L2J,NIAGARA FALLS
L2M,ST CATHARINES
L2N,ST CATHARINES
L2P,ST CATHARINES
L2R,ST CATHARINES
L2S,ST CATHARINES
L2T,ST CATHARINES
L2V,ST CATHARINES
L2W,ST CATHARINES
L3B,WELLAND
L3C,WELLAND
L3K,PORT COLBORNE
L3M,GRIMSBY
L3P,MARKHAM
L3R,UNIONVILLE
L3S,UNIONVILLE
L3T,THORNHILL
L3V,ORILLIA
L3X,NEWMARKET
L3Y,NEWMARKET
L3Z,BRADFORD
L4A,STOUFFVILLE
L4B,RICHMOND HILL
L4C,RICHMOND HILL
L4E,RICHMOND HILL
L4G,AURORA
L4H,WOODBRIDGE
L4J,THORNHILL
L4K,CONCORD
L4L,WOODBRIDGE
L4M,BARRIE
L4N,BARRIE
L4P,KESWICK
L4R,MIDLAND
L4S,RICHMOND HILL
L4T,MISSISSAUGA
L4V,MISSISSAUGA
L4W,MISSISSAUGA
L4X,MISSISSAUGA
L4Y,MISSISSAUGA
L4Z,MISSISSAUGA
L5A,MISSISSAUGA
L5B,MISSISSAUGA
L5C,MISSISSAUGA
L5E,MISSISSAUGA
L5G,MISSISSAUGA
L5H,MISSISSAUGA
L5J,MISSISSAUGA
L5K,MISSISSAUGA
L5L,MISSISSAUGA
L5M,MISSISSAUGA
L5N,MISSISSAUGA
L5P,MISSISSAUGA
L5R,MISSISSAUGA
L5S,MISSISSAUGA
L5T,MISSISSAUGA
L5V,MISSISSAUGA
L5W,MISSISSAUGA
L6A,MAPLE
L6B,UNIONVILLE
L6C,UNIONVILLE
L6E,UNIONVILLE
L6G,UNIONVILLE
L6H,OAKVILLE
L6J,OAKVILLE
L6K,OAKVILLE
L6L,OAKVILLE
L6M,OAKVILLE
L6P,BRAMPTON
L6R,BRAMPTON
L6S,BRAMPTON
L6T,BRAMPTON
L6V,BRAMPTON
L6W,BRAMPTON
L6X,BRAMPTON
L6Y,BRAMPTON
L6Z,BRAMPTON
L7A,BRAMPTON
L7B,KING CITY
L7C,CALEDON
L7E,CALEDON
L7G,GEORGETOWN
L7J,ACTON
L7K,CALEDON
L7L,BURLINGTON
L7M,BURLINGTON
L7N,BURLINGTON
L7P,BURLINGTON
L7R,BURLINGTON
L7S,BURLINGTON
L7T,BURLINGTON
L8E,STONEY CREEK
L8G,STONEY CREEK
L8H,STONEY CREEK
L8J,HAMILTON
L8K,STONEY CREEK
L8L,HAMILTON
L8M,HAMILTON
L8N,HAMILTON
L8P,HAMILTON
L8R,HAMILTON
L8S,HAMILTON
L8T,HAMILTON
L8V,HAMILTON
L8W,HAMILTON
L9A,HAMILTON
L9B,HAMILTON
L9C,HAMILTON
L9G,HAMILTON
L9H,HAMILTON
L9J,BARRIE
L9K,HAMILTON
L9L,PORT PERRY
L9M,PENETANGUISHENE
L9N,EAST GWILLIMBURY
L9P,UXBRIDGE
L9R,ALLISTON
L9S,INNISFIL
L9T,MILTON
L9V,SHELBURNE
L9W,ORANGEVILLE
L9Y,COLLINGWOOD
L9Z,WASAGA BEACH
L0A,TORONTO WEST 2
L0B,TORONTO WEST 2
L0C,NEWMARKET
L0E,NEWMARKET
L0G,NEWMARKET
L0H,TORONTO WEST 2
L0J,TORONTO WEST 2
L0K,BARRIE
L0L,BARRIE
L0M,BARRIE
L0N,TORONTO WEST 2
L0P,TORONTO WEST 2
L0R,HAMILTON
L0S,HAMILTON
L0V,OTTAWA
M1B,TORONTO
M1C,TORONTO
M1E,TORONTO
M1G,SCARBOROUGH
M1H,SCARBOROUGH
M1J,SCARBOROUGH
M1K,SCARBOROUGH
M1L,SCARBOROUGH
M1M,SCARBOROUGH
M1N,SCARBOROUGH
M1P,SCARBOROUGH
M1R,SCARBOROUGH
M1S,TORONTO
M1T,TORONTO
M1V,TORONTO
M1W,SCARBOROUGH
M1X,TORONTO
M2H,WILLOWDALE
M2J,SCARBOROUGH
M2K,WILLOWDALE
M2L,WILLOWDALE
M2M,WILLOWDALE
M2N,WILLOWDALE
M2P,NORTH YORK
M2R,WILLOWDALE
M3A,TORONTO
M3B,TORONTO
M3C,TORONTO
M3H,TORONTO
M3J,TORONTO
M3K,TORONTO
M3L,TORONTO
M3M,TORONTO
M3N,TORONTO
M4A,NORTH YORK
M4B,NORTH YORK
M4C,TORONTO
M4E,TORONTO
M4G,TORONTO
M4H,TORONTO
M4J,TORONTO
M4K,TORONTO
M4L,TORONTO
M4M,TORONTO
M4N,TORONTO
M4P,TORONTO
M4R,TORONTO
M4S,TORONTO
M4T,TORONTO
M4V,TORONTO
M4W,TORONTO
M4X,TORONTO
M4Y,TORONTO
M5A,TORONTO
M5B,TORONTO
M5C,TORONTO
M5E,TORONTO
M5G,TORONTO
M5H,TORONTO
M5J,TORONTO
M5K,TORONTO
M5L,TORONTO
M5M,TORONTO
M5N,TORONTO
M5P,TORONTO
M5R,TORONTO
M5S,TORONTO
M5T,TORONTO
M5V,TORONTO
M5W,TORONTO
M5X,TORONTO
M6A,TORONTO
M6B,TORONTO
M6C,TORONTO
M6E,TORONTO
M6G,TORONTO
M6H,TORONTO
M6J,TORONTO
M6K,TORONTO
M6L,NORTH YORK
M6M,NORTH YORK
M6N,TORONTO
M6P,TORONTO
M6R,TORONTO
M6S,TORONTO
M7A,TORONTO
M7R,MISSISSAUGA
M7Y,TORONTO
M8V,ETOBICOKE
M8W,ETOBICOKE
M8X,ETOBICOKE
M8Y,ETOBICOKE
M8Z,ETOBICOKE
M9A,ETOBICOKE
M9B,ETOBICOKE
M9C,ETOBICOKE
M9L,TORONTO
M9M,TORONTO
M9N,YORK
M9P,YORK
M9R,YORK
M9V,ETOBICOKE
M9W,ETOBICOKE
M0B,TORONTO WEST 2
N1A,DUNNVILLE
N1C,GUELPH
N1E,GUELPH
N1G,GUELPH
N1H,GUELPH
N1K,GUELPH
N1L,GUELPH
N1M,FERGUS
N1P,KITCHENER
N1R,KITCHENER
N1S,KITCHENER
N1T,KITCHENER
N2A,KITCHENER
N2B,KITCHENER
N2C,KITCHENER
N2E,KITCHENER
N2G,KITCHENER
N2H,KITCHENER
N2J,KITCHENER
N2K,KITCHENER
N2L,KITCHENER
N2M,KITCHENER
N2N,KITCHENER
N2P,KITCHENER
N2R,KITCHENER
N2T,KITCHENER
N2V,KITCHENER
N2Z,KINCARDINE
N3A,NEW HAMBURG
N3B,ELMIRA
N3C,KITCHENER
N3E,KITCHENER
N3H,KITCHENER
N3L,BRANTFORD
N3P,BRANTFORD
N3R,BRANTFORD
N3S,BRANTFORD
N3T,BRANTFORD
N3V,BRANTFORD
N3W,CALEDONIA
N3Y,SIMCOE
N4B,DELHI
N4G,TILLSONBURG
N4K,OWEN SOUND
N4L,MEAFORD
N4N,HANOVER
N4S,WOODSTOCK
N4T,WOODSTOCK
N4V,WOODSTOCK
N4W,LISTOWEL
N4X,ST MARYS
N4Z,STRATFORD
N5A,STRATFORD
N5C,INGERSOLL
N5H,AYLMER
N5L,PORT STANLEY
N5P,ST THOMAS
N5R,ST THOMAS
N5V,LONDON
N5W,LONDON
N5X,LONDON
N5Y,LONDON
N5Z,LONDON
N6A,LONDON
N6B,LONDON
N6C,LONDON
N6E,LONDON
N6G,LONDON
N6H,LONDON
N6J,LONDON
N6K,LONDON
N6L,LONDON
N6M,LONDON
N6N,LONDON
N6P,LONDON
N7A,GODERICH
N7G,STRATHROY
N7L,CHATHAM
N7M,CHATHAM
N7S,SARNIA
N7T,SARNIA
N7V,SARNIA
N7W,SARNIA
N7X,SARNIA
N8A,WALLACEBURG
N8H,LEAMINGTON
N8M,ESSEX
N8N,WINDSOR
N8P,WINDSOR
N8R,WINDSOR
N8S,WINDSOR
N8T,WINDSOR
N8V,WINDSOR
N8W,WINDSOR
N8X,WINDSOR
N8Y,WINDSOR
N9A,WINDSOR
N9B,WINDSOR
N9C,WINDSOR
N9E,WINDSOR
N9G,WINDSOR
N9H,WINDSOR
N9J,WINDSOR
N9K,WINDSOR
N9V,AMHERSTBURG
N9Y,KINGSVILLE
N0A,HAMILTON
N0B,KITCHENER
N0C,OWEN SOUND
N0E,HAMILTON
N0G,KITCHENER
N0H,OWEN SOUND
N0J,LONDON
N0K,KITCHENER
N0L,LONDON
N0M,LONDON
N0N,LONDON
N0P,LONDON
N0R,LONDON
P1A,NORTH BAY
P1B,NORTH BAY
P1C,NORTH BAY
P1H,HUNTSVILLE
P1L,BRACEBRIDGE
P1P,GRAVENHURST
P2A,PARRY SOUND
P2B,STURGEON FALLS
P2N,KIRKLAND LAKE
P3A,SUDBURY
P3B,SUDBURY
P3C,SUDBURY
P3E,SUDBURY
P3G,SUDBURY
P3L,GARSON
P3N,VAL CARON
P3P,HANMER
P3Y,LIVELY
P4N,TIMMINS
P4P,TIMMINS
P4R,TIMMINS
P5A,ELLIOT LAKE
P5E,ESPANOLA
P5N,KAPUSKASING
P6A,SAULT STE. MARIE
P6B,SAULT STE. MARIE
P6C,SAULT STE. MARIE
P7A,THUNDER BAY
P7B,THUNDER BAY
P7C,THUNDER BAY
P7E,THUNDER BAY
P7G,THUNDER BAY
P7J,THUNDER BAY
P7K,THUNDER BAY
P7L,THUNDER BAY
P8N,DRYDEN
P8T,SIOUX LOOKOUT
P9A,FORT FRANCES
P9N,KENORA
P0A,BARRIE
P0B,BARRIE
P0C,BARRIE
P0E,BARRIE
P0G,BARRIE
P0H,NORTH BAY
P0J,SUDBURY
P0K,SUDBURY
P0L,TIMMINS
P0M,SUDBURY
P0N,TIMMINS
P0P,SUDBURY
P0R,SUDBURY
P0S,SAULT STE. MARIE
P0T,THUNDER BAY
P0V,DRYDEN
P0W,DRYDEN
P0X,DRYDEN