neighbourhood_number,neighbourhood_name,region,vaccination #,vaccination %,population,minority - % visible minority,minority - % not visible minority,minority - % south asian,minority - % chinese,minority - % black,minority - % filipino,minority - % latin american,minority - % arab,minority - % southeast asian,minority - % west asian,minority - % korean,minority - % japanese,industry - % manufacturing,industry - % wholesale trade,industry - % transportation and warehousing,industry - % retail trade,industry - % information and cultural industries,industry - % construction,industry - % education services,industry - % health care and social services,industry - % accommodation and food services,"industry - % mining, quarrying and oil and gas extraction",industry - % utilities,"industry - % agriculture, forestry, fishing and hunting",industry - % finance and insurance,industry - % real estate and rental and leasing,"industry - % professional, technical and scientific enterprises",industry - % management of companies and enterprises,"industry - % administrative, support, waste management and remediation services","industry - % arts, entertainment and recreation",industry - % other services (except public administration),industry - % public administration,% english nor french,median individual income,average individual income,income - % in bottom decile,income - % in top decile,average age,median age,% commuting by car or truck as driver,% commuting by car or truck as passenger,% commuting by vehicle,% commuting by public transit,% commuting by walking,% commuting by bicycle,% commuting by other method,% leaving for work between 5am and 6am,% leaving for work between 6am and 7am,% leaving for work between 7am and 8am,% leaving for work between 8am and 9am,% leaving for work between 9am and 12pm,% leaving for work between 12pm and 5am,% first generation immigrants,% second generation immigrants,% third generation or more immigrants
8,Abitibi-Témiscamingue,9,42450.0,0.14466626225999712,146717.0,0.014005797911354825,0.9859592749118089,0.00020956306101777792,0.0014669414271244454,0.005937620062170375,0.00041912612203555584,0.0011176696587614824,0.003143445915266669,0.0010478153050888896,0.0002794174146903706,0.00010478153050888896,0.0,0.07848407472113964,0.026945303050665233,0.04502083053353044,0.1257223491466201,0.012431124848810643,0.06571697352506384,0.06820319849482596,0.13512968687004434,0.06108049993280473,0.10556376831071093,0.013909420776777315,0.036688617121354655,0.019822604488644,0.009004166106706088,0.03487434484612283,0.00013439053890606102,0.032388119876360706,0.010079290417954577,0.05032925682031985,0.05180755274828652,0.0005501495719148643,33881.0,43402.0,0.08379029723027488,0.05466103174880375,41.8,43.4,0.8243939976914197,0.045863793766833395,0.045863793766833395,0.012081569834551751,0.08341669873028087,0.005463639861485186,0.028703347441323586,0.08464794151596768,0.13813005001923817,0.3394382454790304,0.20823393612928048,0.07018083878414776,0.1592920353982301,0.017393734064475568,0.02259788341308372,0.960043309699277
1,Bas-Saint-Laurent,2,106479.0,0.2697241431719736,197385.0,0.009632846427161468,0.9903408343203053,0.0003684695354651928,0.0016844321621265956,0.0037110146071851558,0.00021055402026582445,0.000921173838662982,0.0012106856165284906,0.00039478878799842083,0.0,0.0003158310303987367,5.263850506645611e-05,0.10890827385672747,0.023209093312186097,0.04419772667195348,0.12841660058154902,0.021094369547977797,0.061326989162040706,0.07650013217023527,0.1471847739888977,0.06661379857256146,0.008723235527359239,0.007242928892413429,0.06576790906687814,0.02209886333597674,0.009463388844832143,0.0373248744382765,0.00037007665873645254,0.028178694158075602,0.01401004493787999,0.054612741210679355,0.05609304784562517,0.00023110106820049302,30538.0,36525.0,0.08145808659034083,0.027161468614291355,45.7,49.8,0.8578891056705897,0.036251494744791994,0.036251494744791994,0.008118824343885707,0.07665680659575808,0.00780414122978161,0.013279627415192901,0.05387374913462144,0.15123670463842911,0.3715148845112971,0.2208446094782554,0.06362892567184845,0.13896406318836932,0.01666008685353336,0.015502039742071325,0.9678641926569286
3,Capitale-Nationale,4,184195.0,0.12616147737593442,729997.0,0.05035737949896381,0.9496285226904262,0.0020864759702818154,0.0035385504631130784,0.018573865478691158,0.00039473869708034343,0.010227961597563898,0.009100136748762918,0.003686577474518207,0.0008599664472107481,0.0003242496440302821,0.00031720073872527595,0.0691906504635238,0.028729549482919114,0.0345953252317619,0.11878195891406639,0.017775850856275744,0.0543221841088484,0.07087387306971348,0.13409673429311025,0.07829535456064064,0.0021677866897897246,0.004539600362147894,0.01057114803432754,0.04621211155175272,0.014677191058517489,0.07105239667946085,0.00047181239718952834,0.04046110098060469,0.020402698256844466,0.044962446283520995,0.12369135818211958,0.002706350531530027,37011.0,44574.0,0.07034857082437529,0.05983857893067353,43.0,43.5,0.7573927322053259,0.038951952595131005,0.038951952595131005,0.1131719854358535,0.06760905261654887,0.013721710573284786,0.009152566573855929,0.041950453344756194,0.1880488327264939,0.3537945313057757,0.19951452845006068,0.08265867066466767,0.1340615406582423,0.07003136784971628,0.040644274486307405,0.8893243576639763
17,Centre-du-Québec,18,17949.0,0.03702366758938774,242399.0,0.0182725315025266,0.9817274684974734,0.00023453657704526555,0.00206818617939916,0.005351698258032877,0.00023453657704526555,0.0056501993560904885,0.002366687277456771,0.0013432549412592482,0.0002132150700411505,0.00019189356303703545,4.26430140082301e-05,0.19749229021262782,0.042403830546989124,0.04256614186008765,0.11743223502678136,0.008480766109397825,0.06670994968349293,0.059933452361629606,0.11791916896607693,0.06395065736081805,0.0024346696964778446,0.005559162473624412,0.0630985229670508,0.02337282908618731,0.007790943028729102,0.03733160201266028,0.00016231131309852296,0.029337769842558026,0.012213926310663854,0.05023535140399286,0.032989774387274795,0.0021139879021286395,30235.0,37100.0,0.08761194029850747,0.02814498933901919,43.0,44.6,0.8816774132818751,0.03440485715630442,0.03440485715630442,0.0056007906998635105,0.0569492163599567,0.01110745046359486,0.010260272038405422,0.055348990445709983,0.19160352049701135,0.3592036522803219,0.1706593872076058,0.06942156539746788,0.15385701510801525,0.02722756444425492,0.026097524573036823,0.9466535894757041
12,Chaudière-Appalaches,13,142244.0,0.16930504044448466,420082.0,0.01414534463981988,0.9858424189028793,0.00039156663362823195,0.0015907394491146924,0.005078129779866133,0.000244729146017645,0.003059114325220562,0.001970069625442042,0.0008443155537608752,0.00015907394491146922,0.00014683748761058698,8.565520110617574e-05,0.18095834358160232,0.030767166782192608,0.039733470473805425,0.11468371978623974,0.008429667061690852,0.07235650560114483,0.05880643069561523,0.12387362207365338,0.05788967645283188,0.0026608232900297386,0.0033763387965923576,0.04948236925072111,0.05147239675334839,0.008004829729669297,0.045569393824206786,0.0002459584553809002,0.027770945598461643,0.011045770632560428,0.04708986427565235,0.05375310243051674,0.0006625228871542835,34579.0,40838.0,0.05499063911016482,0.038018672833841145,42.9,44.7,0.8702261019615805,0.04034816149415078,0.04034816149415078,0.023625244245946152,0.05105691882152917,0.005303626259294034,0.009465323419697007,0.06879313844904587,0.2307907023954527,0.331683922046285,0.16055115712545676,0.06143422655298417,0.14677222898903775,0.02193996794048187,0.018905326529863074,0.9591547055296551
9,Côte-Nord,10,10085.0,0.05450290754231609,92518.0,0.008767093074547861,0.9912329069254522,0.0001654168504631672,0.000882223202470225,0.0041354212615791796,0.00011027790030877812,0.0009373621526246141,0.0011579179532421704,0.0002756947507719453,0.0,0.0002756947507719453,0.00022055580061755624,0.0994535519125683,0.018688524590163933,0.05213114754098361,0.11595628415300546,0.010710382513661203,0.07289617486338798,0.06775956284153005,0.14251366120218578,0.06765027322404371,0.05092896174863388,0.027759562841530055,0.023278688524590165,0.017595628415300546,0.010273224043715848,0.02360655737704918,0.0002185792349726776,0.031475409836065574,0.012021857923497269,0.0473224043715847,0.08196721311475409,0.0048045424765232585,35204.0,44199.0,0.0802227490764735,0.06031868555990517,42.2,44.5,0.8371640046747175,0.03960524607193871,0.03960524607193871,0.017400337618491104,0.08102843786521231,0.005973250227243215,0.01856901701077782,0.047396442020516814,0.17218543046357615,0.40033761849110505,0.19503960524607195,0.06245942085443449,0.12258148292429555,0.01350904278782532,0.013398764887516542,0.9731473312748126
5,Estrie,6,772485.0,1.2107763539015184,319004.0,0.04120768349918552,0.9587923165008144,0.0015644404303017596,0.0021450574972178764,0.012467138686837733,0.0003064367853168395,0.009676951115268615,0.006628711513959002,0.0021611857490766574,0.004354628001870877,0.0003064367853168395,0.0002419237778817154,0.16363236172688111,0.02380278590070119,0.03232399459170519,0.11530358771185108,0.012608873376725466,0.06389334339527718,0.08823067006257271,0.1429739332767349,0.06464798918341037,0.002232493789894035,0.0027984781309939315,0.03694620004402101,0.02257648649498475,0.010219161714303681,0.050435493506901866,0.0003458793195610477,0.03707197434204321,0.01701097380750244,0.048800427632613275,0.04320347137062541,0.0037141678041966923,30759.0,38297.0,0.10139995484016645,0.03757943292151866,43.0,44.5,0.8532214322363116,0.040387011654328224,0.040387011654328224,0.02972220186176061,0.06120354760683134,0.0067067360551198415,0.008722421754746024,0.04639741992230448,0.19028073004471158,0.3453785824232207,0.19284614820787216,0.07179505973759437,0.15326541083339443,0.06722255374739931,0.04728803444994597,0.8854732835507959
11,Gaspésie--Îles-de-la-Madeleine,12,157598.0,0.8725293707300329,90311.0,0.006637921252694882,0.9933620787473051,0.00034040621808691704,0.0010212186542607512,0.002099171678202655,0.0,0.0008510155452172926,0.0006808124361738341,0.0005673436968115284,0.0,0.00011346873936230568,0.0003971405877680699,0.09764269474691875,0.01184635634797176,0.040325475649156395,0.13138686131386862,0.009931793705875314,0.06916357544573412,0.06892425511547207,0.16680627019265287,0.06964221610625823,0.008376211559171952,0.008615531889434008,0.0746679430417614,0.02094052889792988,0.008495871724302979,0.028957759961708747,0.00023932033026205577,0.02776115831039847,0.019025966255833433,0.048821347373459376,0.06533445016154123,0.00016818971800190615,28473.0,34666.0,0.08691705435152615,0.02655168501077953,47.6,52.2,0.8899637243047158,0.03793833131801693,0.03793833131801693,0.009673518742442563,0.04398428053204353,0.0036275695284159614,0.014812575574365175,0.06408706166868199,0.15462515114873035,0.3518742442563482,0.20994558645707376,0.05652962515114873,0.16278718258766625,0.013048905026665154,0.013275842505389764,0.9737319868376262
14,Lanaudière,15,210804.0,0.21302112385710475,494796.0,0.06145573069290642,0.9385442693070936,0.000801998827847867,0.0020564072508919666,0.03512343584523479,0.00035987126890609417,0.009942729058062658,0.008575218236219501,0.0026836114624140166,0.0003804353414150138,0.0002878970151248753,4.1128145017839334e-05,0.11347079170611993,0.039768884422887396,0.04883186148524609,0.13379968695047248,0.015401263792537053,0.09621441960231115,0.0644650138166921,0.13654370132756188,0.05431989023942491,0.0014879514579991884,0.006550851224178245,0.015961661094900385,0.03147886915689192,0.013468859301629017,0.047382558117065064,0.0005410732574542503,0.03980753251270556,0.017526908732535894,0.049025101934336894,0.050918858335426774,0.0023047819125610615,34033.0,40842.0,0.07191182216372946,0.03849554792407822,41.3,42.6,0.8774575933830197,0.03381471570427052,0.03381471570427052,0.04257248380034058,0.034212796072273705,0.004732733264037862,0.007165446624057324,0.129376119601035,0.20527677643364223,0.25006081783400047,0.1569100117212553,0.08114204834464914,0.1772121104894177,0.056222174239386365,0.06222688341199091,0.8815509423486227
15,Laurentides,16,458418.0,0.3888853070919579,589400.0,0.03794204428446583,0.9620579557155342,0.0012979034532884547,0.0028553875972346003,0.012797328049424163,0.0005883828988240995,0.0068010140952315026,0.007484576580630089,0.003815836152668057,0.0005970355885126892,0.00029419144941204975,0.00014709572470602487,0.10998562070618309,0.04062949352931778,0.05005591947595463,0.13554880971401181,0.017862278319220323,0.0877456462693721,0.06609682057836715,0.1195238856047292,0.06376417958140278,0.002492410928263301,0.007509186771049689,0.014970442562709699,0.029030196517015498,0.015513660329126058,0.05994567822335836,0.0005112637801565745,0.04245087074612558,0.02337434094903339,0.043904777120945836,0.04911327688129094,0.00281439533272312,34117.0,43150.0,0.07533031642886191,0.053525538413615875,41.8,43.6,0.8666666666666667,0.03471642068133296,0.03471642068133296,0.051443423373247935,0.03272997308085027,0.005328135152696556,0.009096816114359974,0.11150097465886939,0.19946161700547665,0.27076951638355146,0.16778984498282745,0.09380859556298153,0.15668801633713914,0.05733272187659534,0.06293966479480147,0.8797362660182918
13,Laval,14,170694.0,0.20176929641861685,422993.0,0.2610563465985153,0.7389314835097968,0.0214190093708166,0.009419496166484118,0.07811853474504077,0.0023974686625289035,0.03081416575392479,0.08201290008518924,0.018559084824145065,0.010624315443592552,0.000511135450894487,0.00030424729219909945,0.10201120560726802,0.052233308779213825,0.056452152949842634,0.133619053996741,0.027188106877385657,0.0522109868523851,0.06392999843746512,0.1209848434116833,0.0639969642179513,0.000758945512176611,0.005781379048639478,0.003549186365767093,0.0517422263889819,0.016763767048371615,0.07453291368110895,0.0014732471706957744,0.04817071809638608,0.014888725194758812,0.0395767762673274,0.04419741512087323,0.020179667220899773,33789.0,42879.0,0.06776278158429579,0.05848921125972082,41.1,41.9,0.7537368730357462,0.03347216189283798,0.03347216189283798,0.17799013721031248,0.022561770191890027,0.005314663873061298,0.006949945064772466,0.07642384444387663,0.19914658762807574,0.29171883384010017,0.17829675243375834,0.11155683879704627,0.1427804890512814,0.29334663924351034,0.21999780939283672,0.486667721403449
4,Mauricie,5,168975.0,0.3174885010822511,266112.0,0.02224860824541597,0.9777319266555067,0.0007396737649394636,0.0018297193132713046,0.008837154981118854,0.0003698368824697318,0.004924670066570639,0.0034258574376143575,0.0011873710437186125,0.00015572079261883442,3.8930198154708606e-05,0.00021411608985089735,0.13493145193618214,0.02284935460594885,0.038042171089553434,0.12687404794355808,0.01555359576685641,0.0639381063096288,0.07015152729896576,0.1481600256554157,0.07175499078008499,0.002284935460594885,0.012667361500841818,0.026056281568187286,0.025334723001683636,0.009420347951575403,0.041489617573959754,0.0003206926962238435,0.03583740880301451,0.016916539725807745,0.051110398460675055,0.05988936101980277,0.0021934007247758915,29296.0,36856.0,0.11231362167633434,0.03433643477245299,45.6,49.3,0.874918597078798,0.0341427109498558,0.0341427109498558,0.016885291655037677,0.055819145967066705,0.007303004930691227,0.010931249418550563,0.04479486463857103,0.17015536328960834,0.365708437994232,0.19648339380407479,0.07605358638012838,0.14680435389338542,0.02925604391326352,0.024019932261455212,0.946704558726204
6,Montréal,7,139368.0,0.03588178228711605,1942044.0,0.32923218997361475,0.6707678100263852,0.03464907651715039,0.033488126649076515,0.09529023746701847,0.015134564643799472,0.03766490765171504,0.06856992084432717,0.01969656992084433,0.009989445910290237,0.002963060686015831,0.0016174142480211082,0.08588722335583111,0.04389028409982734,0.04355183644639774,0.10511497410139696,0.04229124156333386,0.030901742269659395,0.08365052582012243,0.11628374666457385,0.07153017579657825,0.0010447731910218176,0.004591115994349396,0.0024476141892952443,0.048599121017108775,0.01999784178307958,0.10504630356301993,0.0014960367289279547,0.05130179720609009,0.02578578716057134,0.04345373567728771,0.03660630199340763,0.023608764567790656,29198.0,43670.0,0.1517730870712401,0.07186279683377308,40.6,39.1,0.4985685548526282,0.030780443718842015,0.030780443718842015,0.34501618028628905,0.08093641584793446,0.03573656744701321,0.00897349931488878,0.05067490743710096,0.14017667123407482,0.2771406081455351,0.2446517594239235,0.13950030611352437,0.14785574764584122,0.37993767793582567,0.21350715964949776,0.40655516241467654
16,Montérégie,17,8956.0,0.0029713284718029024,1507070.0,0.09385702562850536,0.9061395834604925,0.007473567848738242,0.014170617077984171,0.026401633062738634,0.002214264884403844,0.01482167199039694,0.014329989895085214,0.005588221331542932,0.0036825293483347234,0.0006985276664428665,0.0004069093202579805,0.12649874118204252,0.04444499837973926,0.05115038512351372,0.12268489667721913,0.023649574993145052,0.06307176508712017,0.06534013011940075,0.11721340080265225,0.057768527058354315,0.0021935837674801205,0.008817957474387416,0.022789590447939777,0.04270010220106189,0.013790911583617917,0.06707256275394471,0.000785203280404816,0.03854351023256973,0.019281102774384926,0.04453224318867313,0.0480594261784281,0.005827865171551707,35561.0,44724.0,0.06844214766739232,0.061690843862111995,41.7,42.8,0.8082951548462258,0.03495029053769128,0.03495029053769128,0.10091985733991837,0.03848820338353119,0.009241457191254566,0.008090742104021786,0.08191519015388134,0.20404822997148228,0.3050109711034714,0.17240713872192004,0.0882619913803578,0.14834933137020864,0.10649192112714263,0.08395924111154439,0.8095522286838134
10,Nord-du-Québec,11,47079.0,0.5282534054442225,44561.0,0.01161995898838004,0.9884939621781728,0.0005696058327637275,0.0007974481658692185,0.005923900660742766,0.000227842333105491,0.0010252904989747095,0.001822738664843928,0.0005696058327637275,0.0,0.0,0.0,0.04592901878914405,0.006031083275342148,0.03177916956622593,0.08721874275110184,0.008582695430294595,0.048248666202737184,0.11667826490373463,0.21340756205056832,0.049408489909533754,0.05775922059846903,0.014149849222918117,0.029691486893992113,0.008582695430294595,0.012758060774762237,0.011134307585247043,0.0009278589654372535,0.022268615170494086,0.019485038274182326,0.031083275342147994,0.1521688703317096,0.0668693009118541,34276.0,41798.0,0.05696058327637275,0.05809979494190021,32.0,29.2,0.5195195195195195,0.10838110838110838,0.10838110838110838,0.020202020202020204,0.2732732732732733,0.002457002457002457,0.07644007644007644,0.04013104013104013,0.09063609063609064,0.19683319683319683,0.3822003822003822,0.1476931476931477,0.14223314223314223,0.012987012987012988,0.014240145819093188,0.9728867623604466
7,Outaouais,8,45021.0,0.05883498342934209,382604.0,0.10135179952507926,0.8986482004749208,0.0027195181809739856,0.007044215385839933,0.04548891630516974,0.0016051790238919622,0.011501572014168026,0.022339846911025325,0.0035287406640930738,0.002427667449357265,0.0008092224831190883,0.000517371751502368,0.034705189836162074,0.01626115961934661,0.030682821544197,0.10992838222309428,0.017634651231237124,0.07978514666928284,0.07723437653291475,0.11483370940841754,0.06658981654076326,0.002084764053762386,0.00497890709310311,0.011846365152555676,0.02342293730991857,0.012606690866280782,0.046159128813891885,0.00019621308741293045,0.0473854606102227,0.023005984499166094,0.042112233886000196,0.21458353772196606,0.004828050180062527,37195.0,44868.0,0.0899032912802961,0.059431421711041245,40.3,41.2,0.7425068886014733,0.05867963785637969,0.05867963785637969,0.13091154473373445,0.04051622335938818,0.019035033458921442,0.008406905471517742,0.08128321196614839,0.23794528636095258,0.309162988163185,0.17243512244496303,0.07380436921865774,0.12536902184609328,0.10859500404611241,0.08147941789044985,0.8099255780634378
2,Saguenay--Lac-Saint-Jean,3,279155.0,0.5050421901233139,276368.0,0.010395165039516504,0.9896048349604835,0.0005764760576476058,0.0016736401673640166,0.003719200371920037,0.0003905160390516039,0.0010785681078568107,0.0014504881450488145,0.0008182240818224082,0.0002603440260344026,0.0001487680148768015,7.438400743840075e-05,0.11252200621792711,0.024384762332846387,0.03775705135408473,0.13612016331423007,0.011836535940367831,0.07375360527400082,0.07154361913323594,0.1405401355957598,0.06476383114207589,0.010076038506199198,0.010562984605011799,0.04026669663258044,0.02277409446754317,0.009626549799602951,0.04648462374049519,0.00029965913773083116,0.035322320860021725,0.014046522081132712,0.05652320485447803,0.06120537888152227,0.00036643459142543056,32306.0,39565.0,0.07786145978614598,0.03721059972105997,44.0,46.6,0.8835141848607662,0.03390421405848259,0.03390421405848259,0.01481675164509522,0.04893885911012333,0.004227132086983048,0.014642436919858805,0.0607486817448904,0.1822896239159803,0.3911622434305138,0.16307142545866563,0.06018215888787205,0.14250228788076874,0.014821289098820991,0.01216201138096478,0.9730166995202142
